City_ID,City,Country,Max Temp,Weather Description,Lat,Lng,Hotel Name
1,Matara,LK,72.73,broken clouds,5.9485,80.5353,Amaloh Boutique Resort
5,Tuatapere,NZ,72.0,broken clouds,-46.1333,167.6833,Ron and Tony's Bed & Breakfast
7,Makakilo City,US,80.6,clear sky,21.3469,-158.0858,Marriott's Ko Olina Beach Club
9,Rikitea,PF,80.53,scattered clouds,-23.1203,-134.9692,Pension Maro'i
10,Faanui,PF,81.54,moderate rain,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
11,Roebourne,AU,83.12,scattered clouds,-20.7833,117.1333,Harding River Caravan Park
12,Antalaha,MG,74.93,overcast clouds,-14.9003,50.2788,Hotel Vitasoa
16,Mataura,NZ,72.0,broken clouds,-46.1927,168.8643,Ellie's Villa
18,Novo Aripuana,BR,74.95,broken clouds,-5.1206,-60.3797,Hotel Ezequiel
19,Stabat,ID,77.0,haze,3.761,98.4513,Link VII damai
20,Chuy,UY,70.09,moderate rain,-33.6971,-53.4616,Nuevo Hotel Plaza
21,Hilo,US,82.4,few clouds,19.7297,-155.09,Hilo Hawaiian Hotel
22,Butaritari,KI,81.21,clear sky,3.0707,172.7902,Isles Sunset Lodge
28,Port Alfred,ZA,75.0,broken clouds,-33.5906,26.891,The Halyards Hotel
30,Port Hedland,AU,84.2,overcast clouds,-20.3167,118.5667,The Esplanade Hotel
31,San Juan,AR,76.66,light rain,-31.5375,-68.5364,Hotel Provincial
32,Dondo,MZ,72.37,broken clouds,-19.6094,34.7431,Arco Iris
36,Kapaa,US,78.01,clear sky,22.0752,-159.319,Sheraton Kauai Resort at Coconut Beach
41,Hambantota,LK,71.6,clear sky,6.1241,81.1185,Bungalow 63
42,Escarcega,MX,77.97,clear sky,18.6089,-90.7454,Hotel Maria Isabel
43,Sambava,MG,74.19,overcast clouds,-14.2667,50.1667,Melrose
49,San Pedro,PH,75.2,overcast clouds,14.35,121.0167,OYO 412 Viewfort Venue
51,Lorengau,PG,84.43,overcast clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
52,East London,ZA,75.54,clear sky,-33.0153,27.9116,Tu Casa
56,Bluff,NZ,72.0,broken clouds,-46.6,168.3333,Bluff Homestead - Guesthouse & Campervan Park
57,Alofi,NU,86.0,broken clouds,-19.0595,-169.9187,Taloa Heights
60,Vaini,TO,86.0,broken clouds,-21.2,-175.2,Keleti Beach Resort
64,Ballitoville,ZA,77.0,clear sky,-29.539,31.2144,Hotel Fairmont Zimbali Resort
65,Buenos Aires,AR,73.99,clear sky,-34.6132,-58.3772,Hotel NH Buenos Aires City
70,Araouane,ML,73.63,clear sky,18.9048,-3.5265,
73,Conakry,GN,78.8,haze,9.538,-13.6773,Riviera Royal Hotel
74,Bengkulu,ID,80.65,broken clouds,-3.8004,102.2655,Grage Hotel Bengkulu
75,Kununurra,AU,89.6,clear sky,-15.7667,128.7333,Hotel Kununurra
79,Trairi,BR,79.21,overcast clouds,-3.2778,-39.2689,janelas do mar
84,Mahebourg,MU,78.8,scattered clouds,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
87,Georgetown,MY,81.0,few clouds,5.4112,100.3354,Cititel Penang
89,New Norfolk,AU,70.0,overcast clouds,-42.7826,147.0587,The Shingles Riverside Cottages
92,Avarua,CK,86.0,light rain,-21.2078,-159.775,Paradise Inn
94,Geraldton,AU,89.6,overcast clouds,-28.7667,114.6,Broadwater Mariner Resort
96,Kongoussi,BF,74.23,clear sky,13.3258,-1.5347,Hôtel La Sagesse
97,Kruisfontein,ZA,73.99,overcast clouds,-34.0033,24.7314,Oyster Bay House Rental
100,Mogadishu,SO,75.52,few clouds,2.0371,45.3438,Hotel Juba
106,Puerto Ayora,EC,75.99,light rain,-0.7393,-90.3518,Finch Bay Galapagos Hotel
109,Cidreira,BR,74.95,overcast clouds,-30.1811,-50.2056,Hotel Castelo
115,Itapirapua,BR,72.19,light rain,-15.8233,-50.6133,Hotel Nossa Senhora Aparecida
117,Touros,BR,80.6,few clouds,-5.1989,-35.4608,INN NEW HORIZON
119,Kavieng,PG,84.25,light rain,-2.5744,150.7967,Nusa Island Retreat
122,Padang,ID,75.2,few clouds,-0.9492,100.3543,Mercure Padang
124,Paratinga,BR,76.1,overcast clouds,-12.6906,-43.1842,Pousada Magalhães 2
127,Hobart,AU,70.0,broken clouds,-42.8794,147.3294,St Ives Hobart Accommodation Tasmania
135,Kalmunai,LK,73.83,scattered clouds,7.4167,81.8167,VS Villa
137,Daru,PG,82.67,broken clouds,-9.0763,143.2092,Daru Lodge
139,Arraial Do Cabo,BR,76.37,moderate rain,-22.9661,-42.0278,Pousada Porto Praia
145,Axim,GH,80.73,clear sky,4.8699,-2.2405,AXIM BEACH RESORT AND SPA
149,Xai-Xai,MZ,77.92,moderate rain,-25.0519,33.6442,Complexo da Familia
152,Carnarvon,AU,84.2,scattered clouds,-24.8667,113.6333,Hospitality Carnarvon
157,Barra Dos Coqueiros,BR,80.6,few clouds,-10.9089,-37.0386,Quality Hotel Aracaju
