City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Weather Description
0,Punta Arenas,CL,-53.15,-70.9167,57.0,54,90,11.5,overcast clouds
1,Matara,LK,5.9485,80.5353,72.73,90,83,2.42,broken clouds
2,Ushuaia,AR,-54.8,-68.3,57.2,51,75,9.22,broken clouds
3,Khatanga,RU,71.9667,102.5,-26.25,86,98,7.99,overcast clouds
4,Kodiak,US,57.79,-152.4072,35.6,75,75,12.66,light snow
5,Tuatapere,NZ,-46.1333,167.6833,72.0,51,72,3.0,broken clouds
6,Timra,SE,62.487,17.3257,25.0,74,0,11.5,clear sky
7,Makakilo City,US,21.3469,-158.0858,80.6,54,1,9.22,clear sky
8,Flinders,AU,-34.5833,150.8552,66.99,96,100,1.01,overcast clouds
9,Rikitea,PF,-23.1203,-134.9692,80.53,72,26,10.11,scattered clouds
10,Faanui,PF,-16.4833,-151.75,81.54,75,10,11.7,moderate rain
11,Roebourne,AU,-20.7833,117.1333,83.12,60,42,5.5,scattered clouds
12,Antalaha,MG,-14.9003,50.2788,74.93,89,100,4.47,overcast clouds
13,Faya,SA,18.3851,42.4509,57.2,76,0,2.71,clear sky
14,Mar Del Plata,AR,-38.0023,-57.5575,69.01,100,90,13.8,drizzle
15,Asau,RO,46.4333,26.4,16.0,43,0,7.74,clear sky
16,Mataura,NZ,-46.1927,168.8643,72.0,51,81,3.0,broken clouds
17,Ancud,CL,-41.8697,-73.8203,57.99,71,0,4.61,clear sky
18,Novo Aripuana,BR,-5.1206,-60.3797,74.95,96,79,1.9,broken clouds
19,Stabat,ID,3.761,98.4513,77.0,94,40,3.44,haze
20,Chuy,UY,-33.6971,-53.4616,70.09,93,100,8.68,moderate rain
21,Hilo,US,19.7297,-155.09,82.4,51,20,5.75,few clouds
22,Butaritari,KI,3.0707,172.7902,81.21,83,0,12.01,clear sky
23,Thompson,CA,55.7435,-97.8558,-23.8,76,1,1.14,clear sky
24,Lompoc,US,34.6391,-120.4579,55.4,76,1,17.27,clear sky
25,Goderich,CA,43.7501,-81.7165,10.4,79,70,3.44,broken clouds
26,General Pico,AR,-35.6566,-63.7568,65.79,83,45,5.03,scattered clouds
27,Saint-Francois,FR,46.4154,3.9054,24.01,79,0,3.44,clear sky
28,Port Alfred,ZA,-33.5906,26.891,75.0,95,73,5.01,broken clouds
29,Yellowknife,CA,62.456,-114.3525,-13.0,77,20,3.44,few clouds
30,Port Hedland,AU,-20.3167,118.5667,84.2,70,90,5.75,overcast clouds
31,San Juan,AR,-31.5375,-68.5364,76.66,42,100,18.95,light rain
32,Dondo,MZ,-19.6094,34.7431,72.37,92,79,4.99,broken clouds
33,Hermanus,ZA,-34.4187,19.2345,68.0,84,1,1.01,clear sky
34,Saskylakh,RU,71.9167,114.0833,-28.88,82,73,1.68,broken clouds
35,Longyearbyen,SJ,78.2186,15.6401,8.6,85,90,6.91,light snow
36,Kapaa,US,22.0752,-159.319,78.01,57,1,8.05,clear sky
37,Klaksvik,FO,62.2266,-6.589,37.4,70,75,19.57,broken clouds
38,Bianzhuang,CN,34.8486,118.0447,48.58,82,2,5.61,clear sky
39,Kaitangata,NZ,-46.2817,169.8464,64.0,70,72,4.0,broken clouds
40,Portland,US,45.5234,-122.6762,27.0,74,90,23.02,snow
41,Hambantota,LK,6.1241,81.1185,71.6,100,0,2.3,clear sky
42,Escarcega,MX,18.6089,-90.7454,77.97,64,1,6.22,clear sky
43,Sambava,MG,-14.2667,50.1667,74.19,86,100,4.23,overcast clouds
44,Bredasdorp,ZA,-34.5322,20.0403,69.8,83,15,2.3,few clouds
45,Prince Rupert,CA,54.3161,-130.3201,33.8,27,1,11.5,clear sky
46,Egvekinot,RU,66.3167,-179.1667,-17.36,87,100,19.84,overcast clouds
47,Adana,TR,36.985,35.2881,53.6,94,40,9.22,scattered clouds
48,Seoul,KR,37.5683,126.9778,35.6,93,0,1.14,fog
49,San Pedro,PH,14.35,121.0167,75.2,88,90,5.75,overcast clouds
50,Igarka,RU,67.4667,86.5833,-33.9,83,0,2.57,clear sky
51,Lorengau,PG,-2.0226,147.2712,84.43,74,97,4.27,overcast clouds
52,East London,ZA,-33.0153,27.9116,75.54,84,9,9.42,clear sky
53,Tasiilaq,GL,65.6145,-37.6368,32.0,69,90,39.12,overcast clouds
54,Omsukchan,RU,62.5333,155.8,-11.97,85,25,4.81,scattered clouds
55,Taltal,CL,-25.4,-70.4833,67.64,72,0,4.29,clear sky
56,Bluff,NZ,-46.6,168.3333,72.0,51,82,3.0,broken clouds
57,Alofi,NU,-19.0595,-169.9187,86.0,74,76,10.36,broken clouds
58,Tarko-Sale,RU,64.9225,77.785,-28.7,83,100,0.81,overcast clouds
59,Tuktoyaktuk,CA,69.4541,-133.0374,-4.0,77,75,4.61,broken clouds
60,Vaini,TO,-21.2,-175.2,86.0,74,75,8.05,broken clouds
61,Albany,US,42.6001,-73.9662,15.01,46,94,2.89,overcast clouds
62,Kollegal,IN,12.15,77.1167,64.4,63,20,1.34,few clouds
63,Hofn,IS,64.2539,-15.2082,40.66,73,100,20.22,light rain
64,Ballitoville,ZA,-29.539,31.2144,77.0,88,0,1.14,clear sky
65,Buenos Aires,AR,-34.6132,-58.3772,73.99,78,0,3.44,clear sky
66,Bati,ET,11.1833,40.0167,62.15,51,92,2.86,overcast clouds
67,Pevek,RU,69.7008,170.3133,-19.32,89,100,6.44,overcast clouds
