City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Atuona,PF,2021-02-07 01:50:35,-9.8,-139.0333,79.99,80,73,18.21
1,Katobu,ID,2021-02-07 01:54:00,-4.9408,122.5276,84.87,72,100,4.74
2,Albany,US,2021-02-07 01:50:41,42.6001,-73.9662,25.0,48,0,2.01
3,Puerto Ayora,EC,2021-02-07 01:54:01,-0.7393,-90.3518,77.0,94,66,6.76
4,Kendari,ID,2021-02-07 01:54:01,-3.945,122.4989,85.89,68,100,2.3
5,Voyinka,UA,2021-02-07 01:54:01,45.8699,33.9914,29.68,86,96,8.19
6,Damietta,EG,2021-02-07 01:54:01,31.4165,31.8133,59.0,88,20,5.75
7,Butaritari,KI,2021-02-07 01:54:01,3.0707,172.7902,80.98,81,71,20.78
8,Torbay,CA,2021-02-07 01:54:02,47.6666,-52.7314,42.8,93,75,24.16
9,Rikitea,PF,2021-02-07 01:54:02,-23.1203,-134.9692,78.85,65,100,10.0
10,Manicore,BR,2021-02-07 01:54:02,-5.8092,-61.3003,73.76,96,95,1.92
11,Mataura,NZ,2021-02-07 01:54:02,-46.1927,168.8643,81.86,44,5,1.34
12,Kikwit,CD,2021-02-07 01:54:02,-5.041,18.8162,72.91,88,100,1.3
13,Puerto Lumbreras,ES,2021-02-07 01:54:02,37.5633,-1.8097,50.0,83,32,8.99
14,Jamestown,US,2021-02-07 01:52:28,42.097,-79.2353,17.6,49,1,6.91
15,Mahebourg,MU,2021-02-07 01:54:03,-20.4081,57.7,75.0,86,4,1.99
16,Spasskoye,RU,2021-02-07 01:54:03,44.6108,132.7969,3.13,92,100,9.28
17,Dikson,RU,2021-02-07 01:52:46,73.5069,80.5464,-27.2,87,91,9.06
18,Gusev,RU,2021-02-07 01:54:04,54.5922,22.1997,3.96,94,0,2.44
19,Santa Rosa,PH,2021-02-07 01:54:04,14.3122,121.1114,87.01,78,20,2.3
20,Punta Arenas,CL,2021-02-07 01:54:04,-53.15,-70.9167,51.8,66,0,17.27
21,Las Varas,MX,2021-02-07 01:54:04,21.1667,-105.1667,72.0,53,1,6.91
22,Hithadhoo,MV,2021-02-07 01:54:04,-0.6,73.0833,81.36,76,0,12.19
23,Sambava,MG,2021-02-07 01:54:04,-14.2667,50.1667,74.66,89,93,4.56
24,Quang Ngai,VN,2021-02-07 01:54:05,15.1167,108.8,74.1,80,83,1.5
25,Avarua,CK,2021-02-07 01:54:05,-21.2078,-159.775,86.0,66,17,11.5
26,Ponta Do Sol,PT,2021-02-07 01:50:50,32.6667,-17.1,54.0,66,4,4.0
27,Asau,RO,2021-02-07 01:54:05,46.4333,26.4,27.0,73,100,3.65
28,Sokol,RU,2021-02-07 01:54:05,59.4617,40.1206,-8.27,90,86,7.07
29,Umm Lajj,SA,2021-02-07 01:54:05,25.0213,37.2685,67.75,49,0,18.84
30,Teya,RU,2021-02-07 01:54:06,60.3778,92.6267,20.86,94,90,8.7
31,Lavrentiya,RU,2021-02-07 01:50:29,65.5833,-171.0,-11.04,80,0,1.01
32,Georgetown,MY,2021-02-07 01:53:27,5.4112,100.3354,82.4,74,20,8.05
33,Bengkulu,ID,2021-02-07 01:50:43,-3.8004,102.2655,83.34,63,84,4.12
34,Harnosand,SE,2021-02-07 01:54:06,62.6323,17.9379,15.8,86,1,11.5
35,Hobart,AU,2021-02-07 01:50:50,-42.8794,147.3294,66.0,63,75,17.27
36,Nizhniy Tsasuchey,RU,2021-02-07 01:54:07,50.5167,115.1333,-0.87,87,99,4.7
37,Busselton,AU,2021-02-07 01:54:07,-33.65,115.3333,62.01,95,100,1.99
38,Vaini,TO,2021-02-07 01:54:07,-21.2,-175.2,84.2,84,75,9.22
39,Taltal,CL,2021-02-07 01:50:56,-25.4,-70.4833,63.73,75,3,4.47
40,Ginda,IN,2021-02-07 01:54:07,30.6945,78.4932,41.34,51,0,7.02
41,Saint-Philippe,RE,2021-02-07 01:50:50,-21.3585,55.7679,78.8,69,40,6.91
